sno,year,month,date,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Tavg,min,max,DstYear,Century
21596,2016,2,17,-42,-44,-34,-32,-26,-28,-38,-41,-40,-31,-31,-38,-38,-27,-29,-27,-26,-26,-26,-32,-39,-49,-49,-52,-35,-52,-26,DST1602*17,RRX020
21597,2016,2,18,-57,-50,-46,-53,-52,-53,-54,-48,-48,-43,-45,-39,-33,-28,-26,-27,-29,-27,-33,-29,-31,-31,-24,-25,-39,-57,-24,DST1602*18,RRX020
21598,2016,2,19,-27,-29,-28,-26,-23,-29,-33,-33,-31,-28,-23,-21,-23,-25,-26,-29,-30,-29,-31,-27,-27,-27,-24,-22,-27,-33,-21,DST1602*19,RRX020
21599,2016,2,20,-25,-25,-24,-23,-22,-27,-26,-23,-22,-20,-19,-19,-19,-18,-19,-18,-19,-18,-19,-19,-17,-18,-15,-12,-20,-27,-12,DST1602*20,RRX020
21600,2016,2,21,-8,-9,-8,-11,-12,-14,-12,-14,-14,-14,-13,-11,-9,-8,-10,-10,-11,-12,-13,-13,-14,-11,-9,-7,-11,-14,-7,DST1602*21,RRX020
21601,2016,2,22,-7,-6,-4,-4,-5,-3,0,3,2,2,2,2,3,3,1,-2,0,0,0,0,0,0,0,-1,-1,-7,3,DST1602*22,RRX020
21602,2016,2,23,-1,-2,-4,-3,-3,-3,-4,-2,0,0,-1,1,1,3,2,1,-2,-4,-7,-4,-5,-8,-8,-11,-3,-11,3,DST1602*23,RRX020
21603,2016,2,24,-9,-9,-12,-10,-9,-12,-16,-14,-13,-15,-11,-11,-12,-10,-5,-4,-5,-4,-3,-3,-6,-7,-6,-6,-9,-16,-3,DST1602*24,RRX020
21604,2016,2,25,-3,0,2,4,6,6,1,1,1,2,3,5,3,2,4,5,4,6,3,7,14,18,13,3,5,-3,18,DST1602*25,RRX020
21605,2016,2,26,-2,-5,-7,-4,-3,-10,-8,-5,-3,-1,-1,0,-3,-1,0,1,-1,0,-1,0,2,3,8,11,-1,-10,11,DST1602*26,RRX020
21606,2016,2,27,12,12,12,10,4,-2,-7,-6,-3,-1,-2,-5,-3,1,5,5,4,5,6,5,6,7,10,11,4,-7,12,DST1602*27,RRX020
21607,2016,2,28,10,6,4,5,7,9,9,7,9,10,12,11,7,2,0,3,4,5,5,5,5,3,-2,-4,6,-4,12,DST1602*28,RRX020
21608,2016,2,29,-3,-1,0,1,4,5,5,7,5,2,2,4,4,7,12,15,16,18,21,25,28,24,15,5,9,-3,28,DST1602*29,RRX020
21609,2016,3,1,1,7,10,12,7,2,-1,2,12,16,12,12,9,10,11,12,8,8,9,11,10,8,6,-5,8,-5,16,DST1603*01,RRX020
21610,2016,3,2,-6,0,5,5,0,1,2,4,8,11,12,8,9,7,2,-1,2,5,5,6,6,6,3,4,4,-6,12,DST1603*02,RRX020
21611,2016,3,3,4,4,5,3,3,0,0,0,-1,-1,-4,0,1,-2,-4,-1,-1,2,2,3,1,-1,1,1,1,-4,5,DST1603*03,RRX020
21612,2016,3,4,-2,-5,-8,-7,-7,-6,-4,-4,-4,-3,-2,-1,0,-1,-2,-4,-5,-4,-2,2,3,2,2,1,-3,-8,3,DST1603*04,RRX020
21613,2016,3,5,2,5,9,9,7,6,5,1,-2,-3,-4,1,3,6,5,3,3,2,2,2,1,4,6,7,3,-4,9,DST1603*05,RRX020
21614,2016,3,6,11,17,23,24,22,21,20,23,21,26,28,27,25,24,26,24,4,-31,-40,-66,-90,-98,-94,-86,-6,-98,28,DST1603*06,RRX020
21615,2016,3,7,-83,-69,-69,-73,-76,-76,-69,-71,-71,-68,-62,-59,-48,-41,-42,-46,-51,-47,-48,-44,-45,-47,-48,-46,-58,-83,-41,DST1603*07,RRX020
21616,2016,3,8,-49,-48,-44,-40,-38,-37,-39,-33,-30,-27,-23,-21,-22,-26,-30,-32,-31,-29,-26,-24,-27,-26,-24,-23,-31,-49,-21,DST1603*08,RRX020
21617,2016,3,9,-24,-20,-14,-15,-21,-21,-22,-22,-22,-19,-17,-19,-20,-22,-25,-25,-26,-25,-22,-19,-24,-29,-33,-34,-23,-34,-14,DST1603*09,RRX020
21618,2016,3,10,-31,-21,-19,-22,-23,-25,-22,-25,-26,-28,-29,-28,-24,-20,-19,-16,-18,-20,-19,-18,-19,-20,-15,-16,-22,-31,-15,DST1603*10,RRX020
21619,2016,3,11,-15,-12,-10,-12,-12,-13,-7,-14,-15,-13,1,20,23,6,-5,1,6,4,5,5,-17,-15,-13,-12,-5,-17,23,DST1603*11,RRX020
21620,2016,3,12,-13,-6,-4,-8,-9,-9,-11,-10,-9,-9,-8,-8,-7,-6,-8,-7,-10,-15,-20,-22,-18,-18,-18,-16,-11,-22,-4,DST1603*12,RRX020
21621,2016,3,13,-12,-7,-5,-5,-5,-5,-6,-4,-2,-2,-3,-6,-7,-7,-6,-5,-6,-6,-5,-2,-4,-5,-7,-8,-5,-12,-2,DST1603*13,RRX020
21622,2016,3,14,-10,-9,-7,-6,-8,-9,-9,-9,-9,-7,-4,-3,-2,-3,3,5,5,19,45,37,7,-4,-13,-21,-1,-21,45,DST1603*14,RRX020
21623,2016,3,15,-30,-22,-19,-29,-36,-38,-42,-50,-43,-32,-31,-30,-27,-26,-23,-16,-16,-17,-20,-30,-31,-30,-40,-46,-30,-50,-16,DST1603*15,RRX020
21624,2016,3,16,-40,-39,-34,-28,-27,-30,-30,-34,-26,-16,-21,-29,-27,-24,-20,-17,-18,-16,-17,-22,-36,-47,-49,-56,-29,-56,-16,DST1603*16,RRX020
21625,2016,3,17,-52,-45,-46,-51,-50,-44,-34,-30,-24,-28,-32,-37,-36,-29,-24,-24,-26,-26,-24,-24,-25,-28,-30,-29,-33,-52,-24,DST1603*17,RRX020
21626,2016,3,18,-27,-27,-27,-25,-22,-17,-13,-15,-14,-22,-21,-16,-18,-22,-24,-25,-23,-21,-24,-28,-29,-28,-26,-28,-23,-29,-13,DST1603*18,RRX020
21627,2016,3,19,-27,-24,-20,-19,-23,-23,-24,-37,-44,-44,-44,-39,-31,-32,-34,-33,-32,-28,-25,-25,-29,-25,-23,-22,-29,-44,-19,DST1603*19,RRX020
